agency,agencyId,title,deadline,reference,budget,details,keywords
nsf,nsf07559,NSF 07 559 ACCELERATING DISCOVERY IN SCIENCE AND ENGINEERING THROUGH PETASCALE SIMULATIONS AND ANALYSIS PetaApps,2007-7-23,https://www.nsf.gov/pubs/2007/nsf07559/nsf07559.htm,"21,500,000",This solicitation seeks proposals to develop the future simulation optimization and analysis tools that can use petascale computing to advance the frontiers of scientific and engineering research . Proposals are sought from researchers aiming to capitalize on emerging petascale computing architectures catalyzing progress in science and engineering beyond the current state of the art . NSF s emphasis is on implementation and exploitation of forefront techniques . Proposers must be prepared to demonstrate that they have a science or engineering research problem that requires or can exploit petascale computing capabilities . Proposals from or including junior researchers are encouraged as one of the goals of this solicitation is to build a community capable of using petascale computing .,"[""petascale"",""computing"",""engineering"",""proposals""]"
nsf,nsf10608,NSF 10 608 Accelerating Innovation Research AIR,2011-2-01,https://www.nsf.gov/pubs/2010/nsf10608/nsf10608.htm,"350,000",To accelerate the process of innovation NSF is undertaking two related new activities . The first will encourage the translation of the numerous technologically promising fundamental discoveries made by NSF researchers while drawing upon and building the entrepreneurial spirit of the researchers and students . The second activity will foster connections between an existing NSF innovation research alliance including consortia such as Engineering Research Centers ERC Industry University Cooperative Research Centers I UCRC Partnerships for Innovation PFI Science and Technology Centers STC Nanoscale Science and Engineering Centers NSEC Materials Research Science and Engineering Centers MRSEC grantees and other institutions whose complementary focus will spur the development of discoveries into innovative technologies through collaboration . Both of these activities are designed to strengthen the U . S . innovation ecosystem . WEBINAR A webinar will be held in September 2010 to answer any questions about this solicitation . Details will be posted on the Industrial Innovation and Partnerships IIP website https www . nsf . gov div index . jsp ? div iip as they become available .,"[""innovation"",""centers"",""research"",""nsf""]"
nsf,nsf19501,NSF 19 501 Accelerating Research through International Network to Network Collaborations AccelNet,2019-2-28,https://www.nsf.gov/pubs/2019/nsf19501/nsf19501.htm,"$3,000,000 to $6,000,000",The goals of the Accelerating Research through International Network to Network Collaborations AccelNet program are to accelerate the process of scientific discovery and prepare the next generation of U . S . researchers for multiteam international collaborations . The AccelNet program supports strategic linkages among U . S . research networks and complementary networks abroad that will leverage research and educational resources to tackle grand scientific challenges that require significant coordinated international efforts . The program seeks to foster high impact science and engineering by providing opportunities to create new collaborations and new combinations of resources and ideas among linked global networks . This solicitation invites proposals for the creation of international networks of networks in research areas aligned either with one of the NSF Big Ideas or a community identified scientific challenge with international dimensions . AccelNet awards are meant to support the connections among research networks rather than supporting fundamental research as the primary activity . Each network of networks is expected to engage in innovative collaborative activities that promote synergy of efforts across the networks and provide professional development for students postdoctoral scholars and early career researchers . There are two proposal categories covered by this solicitation Catalytic and Full Scale Implementation .,"[""networks"",""research"",""international""]"
nsf,nsf06595,NSF 06 595 Active Nanostructures and Nanosystems ANN,2006-11-15,https://www.nsf.gov/pubs/2006/nsf06595/nsf06595.htm,"29,000,000",The National Science Foundation NSF announces a program on collaborative research and education in the area of active nanostructures nanosystems and on the long term societal change associated with these innovations . Active nanostructures change or evolve their structure property or function during their operation . The goal of this program is to support fundamental research and catalyze synergistic science and engineering research and education in several emerging areas of nanoscale science and engineering including Active nanostructures Nanosystems with improved functionality and new architectures Hierarchical nanomanufacturing andLong term societal and educational implications of scientific and technological advances on the nanoscale . This solicitation provides support for Nanoscale Interdisciplinary Research Teams NIRT and Nanoscale Exploratory Research NER . Other research and education projects in nanoscale science and engineering will continue to be supported in the relevant programs and divisions .,"[""research"",""nanoscale"",""education"",""engineering"",""science""]"
nsf,nsf05610,NSF 05 610 Active Nanostructures and Nanosystems ANN,2005-11-29,https://www.nsf.gov/pubs/2005/nsf05610/nsf05610.htm,"42,000,000",The National Science Foundation NSF announces a program on collaborative research and education in the area of active nanostructures and nanosystems and on the long term social change associated with these innovations . The goal of this program is to support fundamental research and catalyze synergistic science and engineering research and education in several emerging areas of nanoscale science and technology including fundamental nanoscale phenomena and processes in active nanostructures nanosystems with improved functionality and new architectures hierarchical nanomanufacturing and long term societal and educational implications of scientific and technological advances on the nanoscale . This solicitation will provide support for Nanoscale Interdisciplinary Research Teams NIRT and Nanoscale Exploratory Research NER . A related program solicitation will focus on Nanotechnology Undergraduate Education NUE for FY 2006 . Other research and education projects in nanoscale science and engineering will continue to be supported in the relevant Programs and Divisions .,"[""research"",""nanoscale"",""science"",""nanostructures"",""education""]"
nsf,nsf20511,NSF 20 511 Addressing Systems Challenges through Engineering Teams ASCENT,2020-2-19,https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm,"$6,000,000 to $6,500,000",The Electrical Communications and Cyber Systems Division ECCS supports enabling and transformative engineering research at the nano micro and macro scales that fuels progress in engineering system applications with high societal impact . This includes fundamental engineering research underlying advanced devices and components and their seamless penetration in power controls networking communications or cyber systems . The research is envisioned to be empowered by cutting edge computation synthesis evaluation and analysis technologies and is to result in significant impact for a variety of application domains in healthcare homeland security disaster mitigation telecommunications energy environment transportation manufacturing and other systems related areas . ECCS also supports new and emerging research areas encompassing 5G and Beyond Spectrum and Wireless Technologies Quantum Information Science Artificial Intelligence Machine Learning and Big Data . ECCS through its ASCENT program offers its engineering community the opportunity to address research issues and answer engineering challenges associated with complex systems and networks that are not achievable by a single principal investigator or by short term projects and can only be achieved by interdisciplinary research teams . ECCS envisions a connected portfolio of transformative and integrative projects that create synergistic links by investigators across its three ECCS clusters Communications Circuits and Sensing Systems CCSS Electronics Photonics and Magnetic Devices EPMD and Energy Power Control and Networks EPCN yielding novel ways of addressing challenges of engineering systems and networks . ECCS seeks proposals that are bold and ground breaking transcend the perspectives and approaches typical of disciplinary research efforts and lead to disruptive technologies and methods or enable significant improvement in quality of life . ASCENT supports fundamental research projects involving at least three collaborating PIs and co PIs up to four years in duration with a total budget between 1 million and 1 . 5 million . ASCENT proposals must highlight the engineering leadership focus of the proposal within the scope of ECCS programs . ASCENT proposals must articulate a fundamental research problem with compelling intellectual challenge and significant societal impact . The topic at the heart of the proposal must lie within the scope of at least one of the three ECCS clusters CCSS EPMD EPCN . Research proposals spanning multiple clusters are highly encouraged . ASCENT proposals must demonstrate the need for a concerted research effort by an integrated and interdisciplinary team and strongly justify the interdisciplinary nature of the proposed work . They should include a timeline for research activities with a strong justification of the explicit mechanisms for frequent communication between team members and effective assessment to achieve proposed goals .,"[""research"",""eccs"",""engineering"",""ascent""]"
nsf,nsf05584,NSF 05 584 ADVANCE Increasing the Participation and Advancement of Women in Academic Science and Engineering Careers,2005-7-15,https://www.nsf.gov/pubs/2005/nsf05584/nsf05584.htm,"10,000,000",The pursuit of new scientific and engineering knowledge and its use in service to society requires the talent perspectives and insight that can only be assured by increasing diversity in the science engineering and technological workforce . Despite advances made in the proportion of women choosing to pursue science and engineering careers women continue to be significantly underrepresented in almost all science and engineering fields constituting only approximately 25 of the science and engineering workforce at large and less than 21 of science and engineering faculty in 4 year colleges and universities . Women from minority groups underrepresented in science and engineering constitute only about 2 of science and engineering faculty in 4 year colleges and universities . The goal of the ADVANCE program is to increase the representation and advancement of women in academic science and engineering careers thereby contributing to the development of a more diverse science and engineering workforce . Creative strategies to realize this goal are sought from men and women . Members of underrepresented minority groups and individuals with disabilities are especially encouraged to apply . Proposals that address the participation and advancement of women from underrepresented minority groups are encouraged . In 2005 2006 this program will support the following types of ADVANCE Projects Institutional Transformation AwardsInstitutional Transformation Awards support academic institutional transformation to promote the increased participation and advancement of women scientists and engineers in academe . These awards support innovative and comprehensive programs for institution wide change . Deadline July 22 2005Leadership AwardsLeadership Awards support the efforts of individuals small groups or organizations in developing national and or discipline specific leadership in enabling the full participation and advancement of women in academic science and engineering careers . Deadline July 15 2005Partnerships for Adaptation Implementation and Dissemination AwardsPartnerships for Adaptation Implementation and Dissemination Awards support the analysis adaptation dissemination and use of existing innovative materials and practices that have been demonstrated to be effective in increasing representation and participation of women in academic science and engineering careers . Deadline January 27 2006,"[""women"",""engineering"",""science""]"
nsf,nsf07582,NSF 07 582 ADVANCE Increasing the Participation and Advancement of Women in Academic Science and Engineering Careers ADVANCE,2007-12-06,https://www.nsf.gov/pubs/2007/nsf07582/nsf07582.htm,"approximately $200,000",The pursuit of new scientific and engineering knowledge and its use in service to society requires talent perspectives and insight that can only be assured by increasing diversity in the science engineering and technological workforce . One of the National Science Foundation s NSF key strategic goals is to cultivate a world class broadly inclusive science and engineering workforce and expand the scientific literacy of all citizens . Investments are directed at programs that strengthen scientific and engineering S E research potential and education programs at all levels . These outcomes are essential to the Nation as we progress toward an increasingly technological job market and a scientifically complex society . To meet the continuing strong demand for a highly educated and technologically savvy workforce it is important that every American has an opportunity to achieve and to contribute in mathematics engineering and science . Women comprise an increasing percentage of the overall U . S . workforce and of science and engineering majors at academic institutions but constitute only 27 percent of the science and engineering workforce at large . Although women earn half of the bachelors degrees in science and engineering they continue to be significantly underrepresented in almost all science and engineering fields constituting 29 percent in 2003 of doctoral science and engineering faculty in four year colleges and universities and only 18 percent of full professors . Women from minority groups are particularly underrepresented in science and engineering constituting approximately 3 percent of science and engineering faculty in four year colleges and universities . The goal of the ADVANCE program is to develop systemic approaches to increase the representation and advancement of women in academic science and engineering careers thereby contributing to the development of a more diverse science and engineering workforce . Creative strategies to realize this goal are sought from women and men . Members of underrepresented minority groups and individuals with disabilities are especially encouraged to apply . Proposals that address the participation and advancement of women with disabilities and of women from underrepresented minority groups are encouraged . In 2008 this program will support the following types of ADVANCE Projects Partnerships for Adaptation Implementation and Dissemination PAID AwardsPartnerships for Adaptation Implementation and Dissemination awards support analysis adaptation dissemination and use of existing innovative materials and practices that have been demonstrated to be effective in increasing representation and participation of women in academic science and engineering careers . This category of award also supports proposals for developing national and or discipline specific leadership in enabling the full participation and advancement of women in academic science and engineering careers . Deadline January 17 2008Institutional Transformation IT AwardsInstitutional Transformation Awards support academic institutional transformation to promote the increased participation and advancement of women scientists and engineers in academe . These awards support innovative and comprehensive programs for institution wide change . Deadline December 6 2007Institutional Transformation Planning Grants IT Start IT Start awards support basic data collection and analysis functions necessary to understand the status of women faculty in academic science and engineering at institutions seeking institutional transformation . This category of award is intended to broaden the spectrum of institutions participating in ADVANCE activities . IT Start awards seek to include institutions with varying institutional scope sizes experiences and perspectives for example but not limited to primarily undergraduate institutions teaching intensive colleges community colleges minority serving institutions e . g . tribal colleges Historically Black Colleges and Universities Hispanic serving institutions as well as women s colleges . Deadline December 6 2007,"[""engineering"",""science"",""women"",""colleges""]"
nsf,nsf09504,NSF 09 504 ADVANCE Increasing the Participation and Advancement of Women in Academic Science and Engineering Careers ADVANCE,2009-2-24,https://www.nsf.gov/pubs/2009/nsf09504/nsf09504.htm,"approximately $200,000",The goal of the ADVANCE program is to develop systemic approaches to increase the representation and advancement of women in academic science technology engineering and mathematics STEM careers thereby contributing to the development of a more diverse science and engineering workforce . Creative strategies to realize this goal are sought from women and men . Members of underrepresented minority groups and individuals with disabilities are especially encouraged to apply . Proposals that address the participation and advancement of women with disabilities and women from underrepresented minority groups are particularly encouraged . Proposals from primarily undergraduate institutions teaching intensive colleges community colleges minority serving institutions e . g . Tribal Colleges and Universities Historically Black Colleges and Universities Hispanic Serving Institutions women s colleges and institutions primarily serving persons with disabilities are encouraged . In 2009 2010 this program will support the following types of ADVANCE Projects Institutional Transformation IT Institutional Transformation awards are expected to include innovative systemic organizational approaches to transform institutions of higher education in ways that will increase the participation and advancement of women in STEM academic careers . These awards support comprehensive programs for institution wide change . IT projects must include a research component designed to study the effectiveness of the proposed innovations in order to contribute to the knowledge base informing academic institutional transformation see additional ADVANCE merit review criteria . Institutional Transformation Catalyst IT Catalyst IT Catalyst awards are designed to support institutional self assessment activities such as basic data collection and analysis and policy review in order to identify specific issues in the recruitment retention and promotion of women faculty in STEM academics within their institution of higher education . This type of work is fundamental for institutions that plan to undertake institutional transformation . The institution s need for external resources to undertake institutional self assessment and policy review will specifically be evaluated using an additional ADVANCE merit review criterion . Partnerships for Adaptation Implementation and Dissemination PAID Partnerships for Adaptation Implementation and Dissemination awards may focus on one institution or organization or they may be a partnership between several institutions and or organizations . PAID projects can focus on all STEM disciplines several disciplines or only one discipline including the social and behavioral sciences . Projects may have an international national state or local scope . Previous or current funding from ADVANCE is not a prerequisite for submitting a PAID proposal see additional ADVANCE merit review criteria . PAID awards support activities such as Adaptation and implementation of materials tools research and practices that have been demonstrated to be effective in increasing the participation and advancement of women in STEM academic careers . Dissemination and diffusion of materials tools research and practices to the appropriate audiences that have been demonstrated to be effective in increasing the participation and advancement of women in STEM academic careers . Please note that simply making materials tools research and practices available to others is not effective diffusion and dissemination . Rather an effort to teach and or train individuals and groups how to adopt or adapt the information is expected as well . Scientific research designed to advance understanding of gender in the STEM academic workforce PAID Research .,"[""women"",""institutions"",""academic"",""stem"",""institutional""]"
nsf,nsf10593,NSF 10 593 ADVANCE Increasing the Participation and Advancement of Women in Academic Science and Engineering Careers ADVANCE,2010-11-08,https://www.nsf.gov/pubs/2010/nsf10593/nsf10593.htm,"200,000",The goal of the ADVANCE program is to develop systemic approaches to increase the representation and advancement of women in academic science technology engineering and mathematics STEM careers thereby contributing to the development of a more diverse science and engineering workforce . ADVANCE focuses on ensuring that women faculty with earned STEM degrees consider academia as a viable and attractive career option . This program does not support projects to increase or retain the number of women entering into or persisting in STEM doctoral degree programs . Thus efforts to impact the STEM pipeline are not considered appropriate for the ADVANCE Program . Creative strategies to realize the ADVANCE program goal are sought from women and men . Members of underrepresented minority groups and individuals with disabilities are especially encouraged to apply . Proposals that address the participation and advancement of academic STEM women from underrepresented minority groups and women with disabilities are particularly encouraged . Further given the increasing emphasis on international collaborations in many STEM disciplines and the importance of international recognition to career advancement proposal components that systemically enhance and provide access to international collaborations are encouraged . Proposals from community colleges primarily undergraduate institutions minority serving institutions e . g . Tribal Colleges and Universities Historically Black Colleges and Universities Hispanic Serving Institutions Native Hawaiian Serving Institutions and Tribal Colleges and Universities women s colleges and institutions primarily serving persons with disabilities are encouraged . In 2011 2012 this program will support the following types of ADVANCE Projects Institutional Transformation IT Institutional Transformation awards are expected to include innovative systemic organizational approaches to transform institutions of higher education in ways that will increase the participation and advancement of women in STEM academic careers . These awards support comprehensive programs for institution wide change . IT projects must include a 5 page research component designed to study the effectiveness of the proposed innovations in order to contribute to the knowledge base informing academic institutional transformation . Previous or current funding from ADVANCE is not a prerequisite for submitting an IT proposal . Any institution meeting the minimum eligibility may apply for an IT award . Proposals for IT awards from community colleges primarily undergraduate institutions minority serving institutions e . g . Tribal Colleges and Universities Historically Black Colleges and Universities Hispanic Serving Institutions Native Hawaiian Serving Institutions women s colleges and institutions primarily serving persons with disabilities are strongly encouraged . It is anticipated that there may be significant differences in the issues facing faculty in these institutions compared to faculty in other types of institutions that will warrant development of unique strategies and or adaptation of proven strategies in a unique way to achieve ADVANCE Program goals . Institutional Transformation Catalyst IT Catalyst IT Catalyst awards are designed to support historically resource challenged institutions in efforts to conduct institutional self assessment activities such as data collection and analysis and policy review in order to identify specific issues in the recruitment retention and promotion of women faculty in STEM academics within an institution of higher education . This type of work is fundamental for institutions that plan to undertake institutional transformation . The institution s need for external resources to undertake institutional self assessment and policy review will specifically be evaluated using additional ADVANCE merit review criteria . Thus institutions applying for IT Catalyst awards are expected to demonstrate institutional need within the proposal . As such institutions that are particularly encouraged to apply for the ADVANCE IT Catalyst award include primarily undergraduate institutions institutions that have historically received lesser amounts of NSF research funding minority serving institutions e . g . Historically Black Colleges and Universities Hispanic Serving Institutions Native Hawaiian Serving Institutions women s colleges institutions primarily serving persons with disabilities and institutions that have a Carnegie classification of master s colleges and universities baccalaureate colleges associate colleges or tribal colleges . Partnerships for Adaptation Implementation and Dissemination PAID Partnerships for Adaptation Implementation and Dissemination awards may focus on one institution or organization or they may be a partnership between several institutions and or organizations . PAID projects can focus on all STEM disciplines several disciplines or only one discipline including the social and behavioral sciences . Projects may have an international national regional or local scope . Previous or current funding from ADVANCE is not a prerequisite for submitting a PAID proposal see additional ADVANCE merit review criteria .,"[""institutions"",""serving"",""women"",""colleges"",""advance""]"
