,user_id,meal_occasion,required_categories
68,user_68_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
69,user_69_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
70,user_70_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
71,user_71_snacks,snacks,{'Appetizer'}
72,user_72_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
73,user_73_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
74,user_74_snacks,snacks,{'Appetizer'}
75,user_75_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
76,user_76_breakfast,breakfast,"{'Main Course', 'Beverage'}"
77,user_77_snacks,snacks,{'Appetizer'}
78,user_78_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
79,user_79_snacks,snacks,{'Dessert'}
80,user_80_snacks,snacks,{'Appetizer'}
81,user_81_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
82,user_82_lunch,lunch,"{'Main Course', 'Beverage'}"
83,user_83_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
84,user_84_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
85,user_85_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
86,user_86_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
87,user_87_breakfast,breakfast,"{'Main Course', 'Beverage'}"
88,user_88_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
89,user_89_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
90,user_90_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
91,user_91_lunch,lunch,"{'Main Course', 'Beverage'}"
92,user_92_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
93,user_93_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
94,user_94_snacks,snacks,{'Beverage'}
95,user_95_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
96,user_96_breakfast,breakfast,"{'Main Course', 'Beverage'}"
97,user_97_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
98,user_98_snacks,snacks,{'Beverage'}
99,user_99_snacks,snacks,"{'Beverage', 'Appetizer'}"
100,user_100_snacks,snacks,{'Appetizer'}
101,user_101_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
102,user_102_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
103,user_103_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
104,user_104_lunch,lunch,"{'Main Course', 'Beverage'}"
105,user_105_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
106,user_106_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
107,user_107_snacks,snacks,{'Appetizer'}
108,user_108_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
109,user_109_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
110,user_110_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
111,user_111_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
112,user_112_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
113,user_113_snacks,snacks,"{'Beverage', 'Appetizer'}"
114,user_114_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
115,user_115_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
116,user_116_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
117,user_117_breakfast,breakfast,"{'Main Course', 'Beverage'}"
118,user_118_breakfast,breakfast,"{'Main Course', 'Beverage'}"
119,user_119_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
120,user_120_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
121,user_121_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
122,user_122_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
123,user_123_snacks,snacks,"{'Beverage', 'Appetizer'}"
124,user_124_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
125,user_125_snacks,snacks,"{'Beverage', 'Dessert'}"
126,user_126_breakfast,breakfast,"{'Main Course', 'Beverage'}"
127,user_127_breakfast,breakfast,"{'Main Course', 'Beverage'}"
128,user_128_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
129,user_129_snacks,snacks,"{'Beverage', 'Dessert'}"
130,user_130_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
131,user_131_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
132,user_132_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
133,user_133_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
134,user_134_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
135,user_135_snacks,snacks,{'Beverage'}
136,user_136_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
137,user_137_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
138,user_138_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
139,user_139_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
140,user_140_snacks,snacks,{'Beverage'}
141,user_141_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
142,user_142_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
143,user_143_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
144,user_144_snacks,snacks,{'Appetizer'}
145,user_145_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
146,user_146_snacks,snacks,"{'Beverage', 'Appetizer'}"
147,user_147_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
148,user_148_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
149,user_149_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
150,user_150_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
151,user_151_snacks,snacks,{'Dessert'}
152,user_152_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
153,user_153_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
154,user_154_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
155,user_155_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
156,user_156_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
157,user_157_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
158,user_158_snacks,snacks,{'Beverage'}
159,user_159_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
160,user_160_snacks,snacks,{'Dessert'}
161,user_161_lunch,lunch,"{'Main Course', 'Beverage'}"
162,user_162_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
163,user_163_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
164,user_164_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
165,user_165_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
166,user_166_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
167,user_167_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
168,user_168_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
169,user_169_lunch,lunch,"{'Main Course', 'Beverage'}"
170,user_170_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
171,user_171_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
172,user_172_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
173,user_173_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
174,user_174_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
175,user_175_snacks,snacks,"{'Beverage', 'Dessert'}"
176,user_176_lunch,lunch,"{'Main Course', 'Beverage'}"
177,user_177_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
178,user_178_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
179,user_179_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
180,user_180_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
181,user_181_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
182,user_182_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
183,user_183_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
184,user_184_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
185,user_185_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
186,user_186_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
187,user_187_breakfast,breakfast,"{'Main Course', 'Beverage'}"
188,user_188_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
189,user_189_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
190,user_190_lunch,lunch,"{'Main Course', 'Beverage'}"
191,user_191_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
192,user_192_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
193,user_193_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
194,user_194_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
195,user_195_snacks,snacks,{'Beverage'}
196,user_196_snacks,snacks,{'Appetizer'}
197,user_197_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
198,user_198_snacks,snacks,"{'Beverage', 'Appetizer'}"
199,user_199_snacks,snacks,{'Beverage'}
200,user_200_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
201,user_201_breakfast,breakfast,"{'Main Course', 'Beverage'}"
202,user_202_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
203,user_203_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
204,user_204_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
205,user_205_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
206,user_206_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
207,user_207_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
208,user_208_breakfast,breakfast,"{'Main Course', 'Beverage'}"
209,user_209_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
210,user_210_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
211,user_211_snacks,snacks,{'Dessert'}
212,user_212_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
213,user_213_snacks,snacks,"{'Beverage', 'Dessert'}"
214,user_214_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
215,user_215_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
216,user_216_breakfast,breakfast,"{'Main Course', 'Beverage'}"
217,user_217_snacks,snacks,{'Appetizer'}
218,user_218_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
219,user_219_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
220,user_220_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
221,user_221_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
222,user_222_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
223,user_223_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
224,user_224_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
225,user_225_snacks,snacks,"{'Beverage', 'Appetizer'}"
226,user_226_snacks,snacks,"{'Beverage', 'Dessert'}"
227,user_227_snacks,snacks,{'Appetizer'}
228,user_228_snacks,snacks,"{'Beverage', 'Dessert'}"
229,user_229_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
230,user_230_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
231,user_231_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
232,user_232_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
233,user_233_breakfast,breakfast,"{'Main Course', 'Beverage'}"
234,user_234_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
235,user_235_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
236,user_236_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
237,user_237_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
238,user_238_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
239,user_239_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
240,user_240_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
241,user_241_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
242,user_242_snacks,snacks,{'Appetizer'}
243,user_243_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
244,user_244_snacks,snacks,"{'Beverage', 'Dessert'}"
245,user_245_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
246,user_246_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
247,user_247_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
248,user_248_snacks,snacks,{'Dessert'}
249,user_249_snacks,snacks,{'Beverage'}
250,user_250_snacks,snacks,"{'Beverage', 'Dessert'}"
251,user_251_breakfast,breakfast,"{'Main Course', 'Beverage'}"
252,user_252_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
253,user_253_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
254,user_254_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
255,user_255_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
256,user_256_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
257,user_257_snacks,snacks,"{'Beverage', 'Appetizer'}"
258,user_258_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
259,user_259_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
260,user_260_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
261,user_261_snacks,snacks,"{'Beverage', 'Dessert'}"
262,user_262_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
263,user_263_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
264,user_264_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
265,user_265_snacks,snacks,"{'Beverage', 'Appetizer'}"
266,user_266_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
267,user_267_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
268,user_268_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
269,user_269_snacks,snacks,{'Appetizer'}
270,user_270_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
271,user_271_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
272,user_272_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
273,user_273_snacks,snacks,"{'Beverage', 'Dessert'}"
274,user_274_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
275,user_275_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
276,user_276_breakfast,breakfast,"{'Main Course', 'Beverage'}"
277,user_277_lunch,lunch,"{'Main Course', 'Beverage'}"
278,user_278_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
279,user_279_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
280,user_280_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
281,user_281_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
282,user_282_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
283,user_283_snacks,snacks,{'Dessert'}
284,user_284_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
285,user_285_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
286,user_286_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
287,user_287_dinner,dinner,"{'Appetizer', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
288,user_288_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
289,user_289_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
290,user_290_snacks,snacks,"{'Beverage', 'Dessert'}"
291,user_291_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
292,user_292_snacks,snacks,"{'Beverage', 'Dessert'}"
293,user_293_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
294,user_294_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
295,user_295_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
296,user_296_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
297,user_297_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
298,user_298_snacks,snacks,{'Dessert'}
299,user_299_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
300,user_300_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
301,user_301_snacks,snacks,{'Dessert'}
302,user_302_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
303,user_303_snacks,snacks,"{'Beverage', 'Appetizer'}"
304,user_304_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
305,user_305_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
306,user_306_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
307,user_307_snacks,snacks,"{'Beverage', 'Appetizer'}"
308,user_308_snacks,snacks,"{'Beverage', 'Appetizer'}"
309,user_309_dinner,dinner,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
310,user_310_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
311,user_311_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
312,user_312_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
313,user_313_lunch,lunch,"{'Main Course', 'Beverage'}"
314,user_314_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
315,user_315_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
316,user_316_snacks,snacks,{'Appetizer'}
317,user_317_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
318,user_318_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
319,user_319_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
320,user_320_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
321,user_321_snacks,snacks,{'Beverage'}
322,user_322_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
323,user_323_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
324,user_324_snacks,snacks,{'Beverage'}
325,user_325_dinner,dinner,"{'Side', 'Main Course', 'Beverage', 'Appetizer'}"
326,user_326_snacks,snacks,{'Beverage'}
327,user_327_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
328,user_328_snacks,snacks,"{'Beverage', 'Dessert'}"
329,user_329_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
330,user_330_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
331,user_331_snacks,snacks,{'Dessert'}
332,user_332_snacks,snacks,{'Appetizer'}
333,user_333_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
334,user_334_snacks,snacks,{'Appetizer'}
335,user_335_lunch,lunch,"{'Main Course', 'Beverage'}"
336,user_336_snacks,snacks,{'Beverage'}
337,user_337_snacks,snacks,{'Appetizer'}
338,user_338_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
339,user_339_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
340,user_340_snacks,snacks,{'Dessert'}
341,user_341_snacks,snacks,{'Appetizer'}
342,user_342_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
343,user_343_breakfast,breakfast,"{'Main Course', 'Beverage'}"
344,user_344_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
345,user_345_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
346,user_346_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
347,user_347_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
348,user_348_dinner,dinner,"{'Main Course', 'Beverage', 'Side'}"
349,user_349_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
350,user_350_lunch,lunch,"{'Salad', 'Soup', 'Beverage'}"
351,user_351_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
352,user_352_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
353,user_353_snacks,snacks,{'Appetizer'}
354,user_354_lunch,lunch,"{'Main Course', 'Soup', 'Beverage', 'Side'}"
355,user_355_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
356,user_356_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
357,user_357_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
358,user_358_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
359,user_359_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
360,user_360_snacks,snacks,"{'Beverage', 'Dessert'}"
361,user_361_breakfast,breakfast,"{'Main Course', 'Beverage'}"
362,user_362_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
363,user_363_breakfast,breakfast,"{'Main Course', 'Beverage'}"
364,user_364_breakfast,breakfast,"{'Breakfast Item', 'Beverage', 'Side'}"
365,user_365_dinner,dinner,"{'Salad', 'Dessert', 'Main Course', 'Beverage', 'Side'}"
366,user_366_snacks,snacks,"{'Beverage', 'Appetizer'}"
367,user_367_snacks,snacks,"{'Beverage', 'Dessert'}"
368,user_368_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
369,user_369_snacks,snacks,{'Dessert'}
370,user_370_dinner,dinner,"{'Main Course', 'Beverage', 'Dessert', 'Side'}"
371,user_371_lunch,lunch,"{'Main Course', 'Beverage', 'Side'}"
372,user_372_breakfast,breakfast,"{'Main Course', 'Beverage'}"
373,user_373_lunch,lunch,"{'Main Course', 'Salad', 'Beverage'}"
374,user_374_breakfast,breakfast,"{'Breakfast Item', 'Beverage'}"
