,names,descriptions,titles,research
10,"Berge, Nicole D.","Associate Professor, Civil and Environmental Engineering",Faculty,"['300 Main Street , Room C106Dr . Berge s research focuses on improving our understanding of how physical , chemical , and biological processes can be manipulated to promote sustainable waste treatment techniques that lead to carbon sequestration , energy generation , and or value added product production . Specific areas of exploration include the fate of disposed nanomaterials , pharmaceuticals , personal care products and endocrine disrupting compounds in bioreactor landfills thermochemical conversion of municipal solid waste increasing the energy yield from waste streams resource recovery from waste streams leachate treatment processes and the development and subsequent evaluation of innovative groundwater remediation technologies .']"
11,"Besmann, Theodore  M.","Professor and Smart State Chair, Mechanical Engineering",Faculty,['Nuclear fuel and waste materials']
12,"Bischoff, Jeff ","Adjunct Professor, Mechanical Engineering",Faculty,"['Dr . Bischoff s research and interests include Biomedical Engineering , passive mechanics of soft tissue , theoretical framework for modeling growth in tissue , analysis of structural and constitutive evolution in artificial tissue scaffolding , and constitutive testing and modeling of hypertrophic scars .']"
13,"Blanchette, James  Otto",Instructor,Faculty,"['Room A213300 Main StreetColumbia , SC 29208My research interests fall into the areas of design of cell instructive materials , delivery of therapeutics and tissue engineering . Specific projects include developing responsive delivery systems to expand the spectrum of chemotherapeutics which can be administered orally extending proper function of pancreatic islet cells following transplantation through genetic engineering and design of instructive hydrogel materials tracking hypoxic signaling in three dimensional cell aggregates and transplantation of mesenchymal stem cells to enhance vascularization . Skiles M L , Hanna B , Rucker L , Tipton A , Brougham Cook A and Blanchette J O . ASC spheroid geometry and culture oxygenation differentially impact induction of pre angiogenic behaviors in endothelial cells . Cell Transplantation , 24 11 , 2323 35 , 2015 .']"
14,"Boltin, Nicholas D.",Instructor,Faculty,"['Dr . Boltin s research focuses on developing decision support systems for the healthcare industry . Data Science is an interdisciplinary field that employs techniques from many disciplines such as mathematics , statistics , information science and computer science . The focus of our research is categorized into two broad areas One , to glean information from data utilizing analytical techniques including data mining , statistical analysis , dimension reduction , supervised and unsupervised machine learning , as well as predictive modeling . Two , design and evaluate translational informatic tools created to deploy sophisticated algorithms using the latest in software development and human computer interaction . Boltin N , Culley J , Valafar H Application of Dimensional Reduction and Artificial Neural Networks to Improve Emergency Department Triage during Chemical Mass Casualty Incidents . Article in Press 2018 . Boltin N , Valdes D , Culley JM , Valafar H Mobile Decision Support Tool for Emergency Departments and Mass Casualty Incidents EDIT Initial Study . Jmir Mhealth Uhealth 2018 , 6 6 .']"
15,"Booth, Kristen",Assistant Professor,Faculty,"['Power Electronics Reliability, Medium Frequency Transformer Optimization, Power Grid Resiliency']"
16,"Brookshire, Robert G., Ph.D.","Director of Graduate Studies / Professor, Integrated Information Technology ",Faculty,"['Innovation Center550 Assembly Street , Suite 1300Office 1309Columbia , SC 29208Dr . Robert G . Brookshire is a professor in the Integrated Information Technology Department in the College of Engineering and Computing at the University of South Carolina , Columbia , SC . He is the director of the Master of Health Information Technology program . He has taught at New York University , North Texas State University , the University of Virginia , and James Madison University . He is the co author of Using Microcomputers for Research Sage Publications , 1985 , and his articles have appeared in the Journal of Computer Information Systems , BYTE , Social Science Computer Review , Legislative Studies Quarterly , The European Journal of Operational Research , and other journals . He is past president of the Organizational Systems Research Association and editor of the Information Technology , Learning , and Performance Journal from 2001 to 2011 . ITEC 370 Records ManagementITEC 475 Mainframe SystemsITEC 552 Linux Programming and Administration']"
17,"Broughton, Earnie",Lead Software Developer for VTB/S3D ,Staff,"['Earnie is the Lead Software Developer on the Virtual Test Bed VTB and Smart Ship System Design S3D projects . In addition to writing code , he supervises the daily activities of the development team for both projects , including mentoring students on programming and professional development best practices . Other responsibilities include gathering stakeholder Navy , ESRDC Consortium , and private industry requirements and developing plans for integrating requirements and consortium research into S3D . Education']"
18,"Buell, Duncan A.",Chair Emeritus,Staff,"['Professor Buell s recent work has been in electronic voting systems and in digital humanities . He has been part of a team that is auditing election data in South Carolina and discovering problems in the process that lead to uncounted votes and to the absence of data to support the vote totals certified by the state . In digital humanities , he is co supervising work on Ward One App , a critical interactive for iPhone about urban renewal in Columbia SC and the University of South Carolina s role in evicting residents of the Ward One neighborhood adjacent to the university , and is engaged in the analysis of First Year English essays for linguistic characteristics and improvement of writing pedagogy . Professor Buell s past research interests included the algorithms and architectures for performing computations , such as those in discrete mathematics and text string processing , for which traditional computer architectures oriented toward floating point computations normally perform at a significantly reduced efficiency . One class of such problems are those computational problems in number theory for which fast integer arithmetic , often multiprecision arithmetic , is necessary . Another broad class of problems are those for which custom computing machines were devised . These include bit oriented computations such as those done in string processing , and image processing computations , for which one often needs substantial parallelism , but for which 8 bit or 12 bit arithmetic is often sufficient accuracy . At IDA CCS he directed the Splash 2 project building a custom computing machine that used Xilinx FPGAs as the compute elements and whose applications were programmed in VHDL .']"
19,"Caicedo, Juan","Department Chair, Civil and Environmental Engineering",Faculty,"['Dr . Caicedo s area of specialization is in Structural Engineering with emphasis in Structural Dynamics . His research interests include both numerical and experimental research in the areas of structural dynamics , model updating , structural health monitoring , earthquake engineering and structural control . Dr . Caicedo is member of the American Society of Civil Engineers , the Earthquake Engineering Research Institute , George E . Brown Jr . Network for Earthquake Engineering Simulation , the Society of Experimental Mechanics and the American Society of Engineering Educators . For a complete list of projects and publications visit the Structural Dynamics and Intelligent Infrastructure Lab website .']"
20,"Carrilho, Leo ","Adjunct Professor, Mechanical Engineering",Faculty,"['Dr . Leo Carrilho s research and interests include modeling and simulation of processes and phenomena in structural and thermal hydraulic design of PWR nuclear fuel and core components , using the FEA and the CFD methods .']"
21,"Carver, Wayne","Professor, Cell Biology and Anatomy",Faculty,"['School of Medicine Bldg 1 Room B 15 6439 Garners Ferry Road Columbia , SC 29209The ventricular wall of the heart is composed of contractile muscle cells and non muscle cell types including fibroblasts , endothelial cells and others . These cells are interconnected and supported by an elaborate extracellular matrix . Changes in the density and organization of the extracellular matrix are known to affect cardiovascular performance and have been correlated with heart disease . For instance , excessive accumulation of extracellular matrix or fibrosis is commonly associated with hypertension and myocardial infarction . Increased accumulation of extracellular matrix as seen during fibrosis results in a stiffer myocardium , which alters heart function . The extracellular matrix in the heart is produced largely by cardiac fibroblasts . The research in Dr . Carver s lab is focused on understanding how fibroblast behavior and gene expression are regulated in the heart . We are particularly interested in how chronic exposure to alcohol as seen during alcohol abuse results in myocardial fibrosis . Cell culture and animal models are being used to examine the regulation of fibroblasts in cardiovascular disease .']"
22,"Chandrashekhar, MVS","Associate Professor, Electrical Engineering",Faculty,"['Graphene, Chemistry, Plasmonics, SiC, Epitaxy']"
23,"Chao, Yuh J. ","Distinguished Professor Emeritus, Mechanical Engineering",Faculty,"['Dr . Chao s research and interests include theoretical and experimental studies on failure , fracture and fatigue of materials and structures , welding modeling for residual stress and distortion , impact mechanics for material characterization and failure criterion , biomechanics and nanomechanics , and the durability of PEM fuel cell systems . Cao , Yupeng Qian , Guian He , Yinbiao Niffenegger , Markus Chao , Yuh J , Constraint Assessment for Specimens Tested Under Uniaxial and Biaxial Loading Conditions , ASME Journal of Pressure Vessel Technology , 031401 7 , Vol . 140 , June 2018 . Wang Bo , Zhu Shiyang , Hao Peng , Bi Xiangju , DuKaifan , Chen Bingquan , Ma Xiangtao , Chao Yuh J . , Buckling of quasi perfect cylindrical shell under axial compression A combined experimental and numerical investigation , International Journal of Solids and Structures , 130 131 2018 232 247 .']"
24,"Chaudhry, Hanif",Mr. and Mrs. Irwin B. Kahn Professor,Faculty,"['Hydraulic Engineering, Water Resources Engineering, Hydraulic Transients']"
25,"Chen, Fanglin (Frank)","Associate Chair and Undergraduate Director, Mechanical Engineering",Faculty,"['Dr . Chen s research interests include synthesis and characterization of materials for energy conversion and storage , catalysis and electrocatalysis , composition , structure property relationship , ionic and electronic conducting ceramics , solid oxide fuel cells , solid oxide electrolysis cells , and gas separation membranes .']"
26,"Chen, Yinchao","Associate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A34301 Main StreetColumbia , SC 29208']"
27,"Chen, Yuche",Assistant Professor,Faculty,"['AI-augmented simulation, emerging technologies, data sensing and analytics']"
28,"Cheng, Xu","Adjunct Professor, Mechanical Engineering",Faculty,"['Prof . Cheng has over 25 years research experience and about 10 years teaching experience . Currently he is professor at Karlsruhe Institute of Technology KIT in Germany and at Shanghai Jiao Tong University SJTU in China , and Director of the Division of Innovative Nuclear Systems at KIT . He has supervised or is supervising more than 20 PhD students in both KIT and SJTU and gives 4 lectures for both undergraduate and Master students . He has published over 100 papers . His main research fields are nuclear thermal hydraulics and nuclear safety .']"
29,"Cole, Casey",Instructor,Faculty,"['Computational Biology, Bioinformatics']"
30,"Coman, Paul",Post-Doctoral Fellow,Staff,"['thermodynamics, Li-ion safety']"
31,"Crichigno, Jorge",Associate Professor,Faculty,"['P4 programmable switches, Science DMZs, IoT Security']"
32,"Cui, Taixing",Assistant Professor,Faculty,"['School of Medicine Bldg 4 Room C 5 6439 Garners Ferry Road Columbia , SC 29209Ph . D . , Molecular Medicine , Ehime University School of Medicine , Japan , 2001M . D . , The Fourth Military Medical University , P . R . China , 1989']"
33,"De Backer, Wout",Research Assistant Professor,Staff,"['3D Printing, Fused Deposition Modeling, Additive Manufacturing']"
34,"Deng, Xiaomin ","Professor, Mechanical Engineering",Faculty,"['Solid mechanics, finite element, modeling and simulation, manufacturing process simulation, molecular dynamics simulation']"
35,"Devereux, Emily",Director of Proposal Development,Staff,"['Senior research administrator with over 18 years of research administration in community and economic development , with the past 13 years in university research administration leadership . Experience has concentrated in strategic research growth , strategic planning , research development , student research growth , and research administration . My research is focused on national university rankings and perceived biases in funding review processes based on administrative capacity and reputation . The goal of this research is to identify what contributes to perceived biases during federal and foundation agency reviews and what enables an institution to signal competitiveness to funding sponsors based on the Principal agent and resource dependency theories .']"
36,"Dillon, Anthony L",Internship Director,Staff,"['Innovation Center550 Assembly Street , Suite 1300Office 1321Columbia , SC 29208Mr . Dillon is the Director of Internships for the Department of Integrated Information Technology and clinical instructor for undergraduate and graduate programs within the IIT and MHIT programs . He has worked within the private and public sectors as it related to educational technology and brings numerous business partnerships and relationships to the university .']"
37,"Dougal, Roger A.","Department Chair, Electrical Engineering",Faculty,"['SwearingenRoom 3A79 301 Main Street Columbia , SC 29208Professor Dougal leads the Power and Energy Systems research group , where research principally focuses on power electronics but it also encompasses a wide range of associated technologies across a number of engineering departments . Dr . Dougal is a member of the Board of Directors of the Electric Ship Research and Development Consortium ESRDC , and in that capacity he oversees USC s activities related to new power generation , processing , and distribution technologies for ships , and coordination of those activities with other member schools . Prof . Dougal is also Site Director of the new NSF sponsored Industry University Cooperative Research Center for Grid connected Advanced Power Electronic Systems GRAPES . This joint project between USC and the University of Arkansas seeks to insert greater levels of advanced power electronics into the utility power grid to better realize a Smart Grid . Since 1996 , under sponsorship of the Office of Naval Research , Prof Dougal has overseen development of the Virtual Test Bed software , which is a comprehensive simulation and virtual prototyping environment for multidisciplinary dynamic systems . This environment is applied in studies of electric systems for navy ships , electrochemical power sources , hybrid power sources , power electronics , and controls . Dr . Dougal currently supervises about a dozen graduate students , several post doctoral scholars and research faculty , and a number of undergraduate researchers .']"
38,"Downey, Austin",Assistant Professor,Faculty,"['Real-Time Systems, Structural Health Monitoring']"
39,"Dryer, Frederick  L. ","Educational Foundation Distinguished Research Professor, Mechanical Engineering ",Faculty,"['300 Main Street , Rm A 122University of South CarolinaColumbia , SC 29208Dr . Dryer has over 45 years of applications driven fundamental research experience in thermal sciences heat transfer , fluid dynamics , physical chemistry , and chemical kinetics relevant to space and air breathing propulsion , fossil and renewable energy conversion related to ground transportation and stationary power generation , combustion related pollutant mitigation , and fire safety . Dr . Dryer s current research interests include chemistry chemical kinetics of fuels and hazardous waste materials as related to ignition , combustion , and emissions generation abatement petroleum derived fuels , including gasoline , diesel , gas turbine , and heavy fuel oil combustion properties non petroleum derived alternative fuels , their production , their chemical kinetic properties , and their ability to address U . S . energy security and reduction in net carbon cycle emissions as well as other pollutant concerns fire safety related issues on earth and in micro gravity environments solid phase gas phase interactions as related to particle burning phenomena and nano catalyst materials emissions from internal combustion engines , including hydrocarbons , nitrogen oxides , aerosol particulates emissions interactions including chlorine , sulfur and ash metals component effects in stationary energy conversion , chemical processing , and incineration .']"
40,"Eastman, Caroline M. ","Professor, Computer Science & Engineering",Staff,"['Professor Eastman s research interests focus on effective and efficient algorithms for information retrieval . When you want information , how easily and quickly can you find it ? Is it useful and correct when you do find it ? Her work in this area has addressed a broad spectrum of problems , from efficient file organizations to search interfaces and user interactions . She has also been working with colleagues on problems in database security . She is PI and co director with Professor Bowles for an NSF Research Experiences for Undergraduates site .']"
41,"Eberth, John F.","Associate Professor, Cell Biology and Anatomy",Faculty,"['biomechanics, mechanobiology, cardiovascular, biomedical engineering']"
42,"Ebner, Armin D.","Research Professor, Chemical Engineering",Faculty,"['Ph . D . , University of South Carolina , 2000B . S . , Catholic University of Chile , Chile , 1995Dr . Ebner s major research interest is the application of magnetic fields to the separation , collection and or manipulation of magnetic particles from a fluid medium , with particular emphasis in the use of high gradient magnetic separation HGMS principles . This technique consists on the use of fine ferromagnetic elements that as a result of the application of an external magnetic field become energized and create magnetic gradients large enough to collect particles that because of their small size and or low magnetism their collection cannot be otherwise realized . Today major emphasis and potential for HGMS is found in the medical area where the technique can be used to assist magnetic drug targeting for cancer treatment , restenosis , embolization control as well as for rapid detoxification .']"
43,"Eslambolchi Moghadam, Sara",Postdoctoral Researcher,Staff,"['Natural product, Medicinal plant, Drug discovery, Wound Healing']"
44,"Fan, Daping","Professor, School of Medicine, Biomedical Engineering",Faculty,"['School of Medicine Bldg 1 Room B 12 6439 Garners Ferry Road Columbia , SC 29209The rupture of vulnerable atherosclerotic plaques and the resulting thrombosis are the direct causes of heart attack and stroke , the No . 1 and No . 3 killers in the United States and many other developed countries . Atherosclerosis is both a lipid deposit disease and a chronic inflammatory condition . Macrophages are the primary cholesterol sinks as well as dominant inflammation machines in atherogenesis . Macrophage foam cell formation and inflammatory responses form a vicious cycle and promote atherogenesis . The goal of the research in our laboratory is to develop strategies to disrupt the vicious cycle and promote the regression of atherosclerotic plaques through restoring macrophage cholesterol homeostasis and controlling macrophage inflammation . Myeloid cells are the major cell component of the tumor microenvironment TME , whose interaction with malignant cells determines the aggressiveness of the tumor . Myeloid cells in TME are mainly myeloid derived suppressor cells MDSCs , dendritic cells , and tumor associated macrophages TAMs . In advanced tumors , due to the unique features in TME including hypoxia , abundance in cytokines chemokines and Toll like receptor TLR ligands , and an unusual metabolic profile , a complex signaling network tunes the dynamics and function of the myeloid cells in favor of cancer progression . Our research is focused on understanding this signal network and developing strategies to manipulate it to improve cancer treatment .']"
45,"Farkas, Csilla "," Professor and Associate Dean for Diversity, Engagement, and Inclusion, Computer Science and Engineering",Faculty,['information security']
46,"Farouk, Tanvir   I.","Associate Professor, Director of Graduate Studies, Mechanical Engineering",Faculty,"['Plasma, Energy, Combustion, Thermal-Fluid Science, Multi-physics Modeling']"
47,"Fenner, Stephen A. ","Professor, Computer Science & Engineering",Faculty,"['Professor Fenner s research interests are in the core theoretical foundations of computing computability and computational complexity , especially quantum computing and information .']"
48,"Fiedler, Kirk","Associate Professor, Computer Science & Engineering and Moore School of Business ",Faculty,"['Business, computer science']"
49,"Flora, Joseph",Associate Professor,Faculty,"['Dr . Flora s main research interests are in molecular modeling for environmental reactions , computer modeling of water quality engineering processes , and processes for water quality engineering .']"
50,"Gadala-Maria, Francis","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Swearingen Engineering CenterRoom 2C07301 Main StreetColumbia , SC 29208Ph . D . , Stanford University , 1979M . S . , Stanford University , 1974']"
51,"Gassman, Sarah",Associate Professor,Faculty,"['geotechnical, civil, engineering']"
52,"Gatzke, Edward P.","Associate Professor, Chemical Engineering, Biomedical Engineering",Faculty,"['Swearingen Room 3C05 301 Main Street Columbia , SC 29208Dr . Gatzke s research interests are in the area of process modeling , control , and optimization . Efficient operation of chemical processes requires a fundamental understanding of dynamic and nonlinear characteristics . A variety of controller formulations can be developed to reduce product variability and improve productivity . Estimation and diagnostic methods can be used to develop process information that cannot easily be directly acquired by instrumentation . Recently , new moving horizon formulations involving unknown values taking discrete values have been proposed . These applications require online solution to constrained mixed integer optimization problems . Ongoing research efforts include parallel programming efforts for mixed integer optimization , including parallel nonconvex nonseparable mixed integer outer approximation and parallel nonconvex branch and reduce methods . Application areas of interest include particulate processing , bio processes , and large scale systems .']"
53,"Gerdes, Jr., John H.",Undergraduate Director / Integrated Information Technology,Faculty,"['Innovation Center550 Assembly Street , Suite 1300Office 1315Columbia , SC 29208Ph . D . , Vanderbilt University , Nashville , Tenn . M . S . , Computer Science , Vanderbilt University , Nashville , Tenn . M . B . A . , Lehigh University , Bethlehem , Pa . M . Eng . , Mechanical Engineering , Cornell University , Ithaca , N . Y . B . S . , Cornell University , Ithaca , N . Y . Dr . John Gerdes is an associate professor in the Department of Integrated Information at the University of South Carolina , Columbia , S . C . He teaches software development , web site development , and database management . Dr . Gerdes holds a B . S . and M . Eng . in Mechanical Engineering from Cornell University , a M . B . A . from Lehigh University , a M . S . in Computer Science from Vanderbilt , and a Ph . D . in Information Systems from Vanderbilt . He has taught at Ohio State University , University of California Riverside , and Jia Tong University , Shanghai , China . His articles have appeared in the Communications of the ACM , Decision Support Systems , Transactions of the IIE , and other journals . He has authored two U . S . Patents , one dealign with measurement of coke temperature , and one for the development of a new public key certificate in support of user privacy . He is currently an associate editor for Electronic Commerce Research and Telecommunications Systems .']"
54,"Gholizadeh, Sona",Research Assistant Professor,Faculty,"['Engineering Education, Higher Education, Systems Analysis']"
55,"Gibbons, Joseph H.","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Ph . D . , University of Pittsburgh , 1961M . S . , University of Pittsburgh , 1958B . S . , University of South Carolina , 1956']"
56,"Ginn, Herbert L.",Professor,Faculty,"['SwearingenRoom 3A30 301 Main Street Columbia , SC 29208University of South CarolinaMississippi State University']"
57,"Giurgiutiu (Jurjutzu), Victor","Professor, Mechanical Engineering",Faculty,"['Dr . Giurgiutiu s research interests span active materials , smart structures , structural health monitoring , mechatronics , and other multi physics applied mechanics topics . Dr . Giurgiutiu has published several books and book chapters and many journal articles and conference papers . He is Fellow of the Royal Aeronautical Society RAeS and of the American Society of Mechanical Engineers ASME . He is Associate Editor of the Aeronautical Journal of RAeS .']"
58,"Glenn Jr., Odell",Instructor,Faculty,"['Fundamental Aspects of a Novel Technology for Abatement of Allergenic Proteins involved the development of an approach to potentially reduce the potency of asthma triggers produced in an indoor environment . Allergens are bound to dry dust particles in a home . The effectiveness of using dry ice , essential oils with CO2 through CFD modeling and an ELISA assay was investigated . My present passion is S . T . E . M education along with engineering education research . Investigating new and unique ways to teach undergraduates core fundamentals is key to both myself as an educator and to the student .']"
59,"Goharian, Erfan",Assistant Professor,Faculty,"['Integrated Water Resources Management, System Analysis, Hydroinformatics']"
60,"Gower, R. Michael","Assistant Professor, Chemical Engineering, Biomedical Engineering",Faculty,"['immunoengineering, Biomaterials']"
61,"Gray, Joshua",Instructor,Faculty,"['Experienced engineer with a diverse background ranging from educational instruction and mentoring roles , extensive experience in research and development environments , entrepreneurial start ups and community based non profit social work . Educational roles range from experience as a teaching assistant in graduate school chemical engineering laboratories , serving as a mentor and thesis committee member as an adjunct professor while working in the national laboratory system , and serving as a laboratory manager and instructor in the chemistry department at a state supported liberal arts university . R D experience primarily involves the application of electrochemical engineering to localized corrosion and sustainable energy applications . I have worked in such areas as materials compatibility and corrosion susceptibility of high temperature heat transfer fluids for solar energy , hydrogen storage and fuel cell applications , the development of alternative separations processes for used nuclear fuel , and battery component research and characterization . I participated in several start ups in the areas of fuel cell and hydrogen storage technologies , and am currently a co founder of a 501 c 3 nonprofit in the area of recovery from substance use disorder .']"
62,"Gross, Andrew J.",Assistant Professor,Faculty,"['Dr . Gross research interests center on the mechanical properties of materials . This includes the design , fabrication , and characterization of architected materials , especially those with nanoscale constituents as well as the use of full field experimental data for the calibration of material models .']"
63,"Gumina, Sharon",Instructor,Faculty,"['Innovation Center 550 Assembly Street , Suite 1300 Office 1317 Columbia , SC 29208Over 30 years experience as a developer , analyst , and educator in Information Technology . Cisco Academy Instructor in Cyber Security Operations and Routing and Switching CCNA 1 through CCNA 3 , version 7 . Developer using various tools including SQL Developer for Oracle and Visual Studio . Palo Alto Networks Authorized Cybersecurity Academy Instructor .']"
64,"Gürdal, Zafer ",Professor of Mechanical Engineering,Faculty,['Structural and Multidisciplinary Design …']
65,"Haj-Hariri, Hossein ",Dean,Faculty,"['fluid mechanics, thermal management, applied mathematics']"
66,"Harik, Ramy","Associate Professor, Mechanical Engineering",Faculty,"['Dr . Harik , a Fulbright Scholar , is a faculty member in the Department of Mechanical Engineering at the University of South Carolina and a resident researcher at the McNAIR Center for Aerospace Innovation and Research . He is currently a visiting Research Scientist at NASA Langley , conducting research in Automated Fiber Placement . His education joins Mechanical Engineering Masters of Science , Automated Manufacturing Engineering Technology Masters of Science and Industrial Mechanical Engineering Doctor of Philosophy . He mainly teaches courses in Computer Aided Design CAD , Manufacturing and Computer Aided Manufacturing CAM . Dr Harik is an Associate Editor of the Computer Aided Design Applications international journal . He has more than 3 million USD in funding from Boeing , NASA , SC Department of Commerce , Fokker Aerostructures , Dassault Aviation funded as a student and several other agencies . He is the recipient of the 2016 Outstanding Young Educator Award from Pi Tau Sigma Honor Society at the University of South Carolina . Dr . Harik is the chair of ACE 15 , ACE 16 and ACE 17 Technical Symposiums South Carolina Aerospace Conference and Exhibition and was the chair of the PLM 16 International Conference held in Columbia , South Carolina . Dr . Harik s textbook for Manufacturing Education featuring both traditional and emergent manufacturing topics .']"
67,"Henrich, Silke","Undergraduate Director, Biomedical Engineering",Faculty,['Biomedical Engineering1200 Catawba StRoom 202']
68,"Heyden, Andreas","Director of Graduate Studies, Chemical Engineering",Faculty,"['Computational Catalysis, Multiscale Modeling, Biomass Catalysis, Electro-Catalysis, Uncertainty Quantification']"
69,"Hikmet, Neset",Professor,Faculty,"['Health Information Technology, Health Informatics, Information Systems']"
70,"Hoque, Shamia",Associate Professor,Faculty,"['Metamodel, Healthy buildings, Sustainable technology, Transportation and Environment']"
71,"Hu, Jianjun","Associate Professor, Graduate Recruiting Coordinator, Computer Science & Engineering",Faculty,"['Deep learning, machine learning, materials informatics, bioinformatics, evolutionary computation']"
72,"Hu, Ming",Associate Professor,Faculty,"['Dr . Hu s research interests include modeling and simulation of micro nano scale thermal transport in novel energy systems , in particular low dimensional materials and nanostructures , and energy nanotechnology , interfacial heat transfer for advanced thermal management , and multi scale and multiphysics modeling of complex energy transport process . Full list of publications']"
73,"Huang, Chin-Tser","Professor, Computer Science & Engineering",Faculty,"['Network Security, Network Protocol Design and Verification, Distributed Systems']"
74,"Huang, Kevin ",Professor,Faculty,"['fuel cells, batteries, gas membranes, modeling, electrochemistry']"
75,"Huang, Xinyu ","Associate Professor, Mechanical Engineering",Faculty,"['fuel cell, composites, coating, durability']"
76,"Huhns, Michael N.",NCR Distinguished Professor Emeritus of Computer Science and Engineering,Staff,"['multiagent systems, service-oriented computing, ontologies, computer vision, distributed computing']"
77,"Humphries, Wilfred Kenneth",Dean Emeritus,Staff,"['Areas of research , teaching , and professional practice include soil dynamics , effects of blasting on structures , flexible pavements , soil stabilization , deep and shallow foundations , lateral earth pressures , and retaining walls . At present , Dr . Humphries serves as Senior Geotechnical Consultant for Terracon Consultants , Inc . , a national engineering firm with approximately 3 , 000 employees with locations in over 100 cities in the U . S . In recognition of Dr . Humphries service to the Engineering community , he has received numerous awards and honors including the Order of the Palmetto South Carolina s highest honor , the rank of Fellow by both ASCE and NSPE , South Carolina Engineer of the Year , the Public Service Award , the Letalier Cup , and the Government Employee of the Year , among others .']"
78,"Huray, Paul G.","Professor Emeritus, Electrical Engineering",Staff,"['SwearingenRoom 3A19301 Main StreetColumbia , SC 29208']"
79,"Huynh, Nathan","Professor, Director of Undergraduate Studies Civil and Environmental Engineering",Faculty,"['port operations, drayage, freight, logistics, health care']"
80,"Imran, Jasim",Distinguished Professor,Faculty,"['Unsteady free surface flow, sediment transport, mass gravity flows, turbidity currents, numerical and experimental modeling']"
