,meal_name,categories
178,Smoothie Spicy (m179),{'Beverage'}
179,Corned Beef Hash Mild (m180),{'Breakfast Item'}
180,Mediterranean Salad Mild (m181),{'Salad'}
181,Carrot Ginger Soup Spicy (m182),"{'Soup', 'Appetizer'}"
182,Salmon Teriyaki Light (m183),{'Main Course'}
183,Yogurt Classic (m184),"{'Soup', 'Breakfast Item'}"
184,Tres Leches Cake Classic (m185),{'Dessert'}
185,Potato Skins Mild (m186),{'Appetizer'}
186,Tres Leches Cake (m187),{'Dessert'}
187,Fruit Bowl Light (m188),"{'Breakfast Item', 'Appetizer'}"
188,Almond Milk Light (m189),{'Beverage'}
189,Spring Rolls Classic (m190),"{'Salad', 'Appetizer'}"
190,Mac and Cheese (m191),"{'Appetizer', 'Beverage', 'Side'}"
191,Baklava (m192),{'Dessert'}
192,Sweet Potato Fries Mild (m193),{'Side'}
193,Sliders Classic (m194),"{'Breakfast Item', 'Appetizer'}"
194,Lemon Tart Classic (m195),{'Dessert'}
195,Espresso Deluxe (m196),{'Beverage'}
196,Matcha Latte Premium (m197),"{'Soup', 'Beverage'}"
197,Tomato Soup Mild (m198),{'Soup'}
198,Iced Tea (m199),{'Beverage'}
199,Beef Tacos Classic (m200),"{'Main Course', 'Breakfast Item', 'Beverage'}"
200,Arugula Salad Classic (m201),"{'Salad', 'Dessert'}"
201,Scrambled Eggs Special (m202),{'Breakfast Item'}
202,Broccoli Cheddar Soup Mild (m203),"{'Main Course', 'Soup'}"
203,Cola Deluxe (m204),"{'Beverage', 'Appetizer'}"
204,Cola Mild (m205),{'Beverage'}
205,Key Lime Pie Spicy (m206),"{'Appetizer', 'Dessert'}"
206,Pepsi Classic (m207),{'Beverage'}
207,Stuffed Mushrooms Premium (m208),"{'Side', 'Appetizer'}"
208,Chocolate Cake Spicy (m209),"{'Breakfast Item', 'Dessert'}"
209,Oatmeal Special (m210),{'Breakfast Item'}
210,Fruit Smoothie Bowl Deluxe (m211),{'Breakfast Item'}
211,Cobb Salad Deluxe (m212),{'Salad'}
212,Vegetable Stir Fry Spicy (m213),{'Main Course'}
213,Spinach Artichoke Dip Premium (m214),{'Appetizer'}
214,Chicken Shawarma Spicy (m215),"{'Side', 'Main Course', 'Dessert'}"
215,Coleslaw Deluxe (m216),"{'Beverage', 'Side'}"
216,Biscuits and Gravy Classic (m217),{'Breakfast Item'}
217,Bagel Classic (m218),{'Breakfast Item'}
218,Falafel Wrap Spicy (m219),{'Main Course'}
219,Fish Tacos (m220),{'Main Course'}
220,Coffee Deluxe (m221),{'Beverage'}
221,English Muffin Special (m222),{'Breakfast Item'}
222,French Fries (m223),{'Side'}
223,Roasted Vegetables Special (m224),"{'Beverage', 'Side'}"
224,Grilled Zucchini Deluxe (m225),{'Side'}
225,Kale Salad Light (m226),"{'Salad', 'Dessert'}"
226,Sushi Roll Deluxe (m227),{'Main Course'}
227,Creamed Spinach Classic (m228),{'Side'}
228,Roasted Vegetables Light (m229),{'Side'}
229,Cobb Salad (m230),"{'Salad', 'Side'}"
230,Mashed Potatoes Premium (m231),{'Side'}
231,Spring Rolls Special (m232),"{'Salad', 'Appetizer'}"
232,Mango Juice Spicy (m233),"{'Breakfast Item', 'Beverage', 'Side'}"
233,Potato Salad Deluxe (m234),"{'Salad', 'Breakfast Item'}"
234,Pork Fried Rice Light (m235),"{'Main Course', 'Appetizer'}"
235,Chef Salad Premium (m236),{'Salad'}
236,Breakfast Tacos Premium (m237),"{'Soup', 'Salad', 'Breakfast Item'}"
237,Buffalo Wings Special (m238),{'Appetizer'}
238,Quiche Premium (m239),"{'Main Course', 'Breakfast Item'}"
239,Bacon Premium (m240),"{'Breakfast Item', 'Beverage'}"
240,Grilled Zucchini Classic (m241),"{'Appetizer', 'Side'}"
241,Coffee Spicy (m242),"{'Beverage', 'Appetizer'}"
242,Scone Spicy (m243),{'Breakfast Item'}
243,Ice Cream Spicy (m244),{'Dessert'}
244,Quiche (m245),"{'Soup', 'Breakfast Item', 'Appetizer'}"
245,Banana Split Deluxe (m246),{'Dessert'}
246,Roasted Vegetables Special (m247),"{'Appetizer', 'Side'}"
247,Chicken Fried Rice Premium (m248),"{'Main Course', 'Beverage'}"
248,Grape Juice Deluxe (m249),"{'Soup', 'Beverage', 'Appetizer'}"
249,Pad Thai Light (m250),{'Main Course'}
250,Croissant Spicy (m251),{'Breakfast Item'}
251,Ice Cream Deluxe (m252),"{'Soup', 'Dessert'}"
252,Pad Thai Spicy (m253),{'Main Course'}
253,Pepsi (m254),"{'Beverage', 'Appetizer'}"
254,Pork Tenderloin Premium (m255),"{'Main Course', 'Breakfast Item'}"
255,Oysters Classic (m256),"{'Side', 'Appetizer'}"
256,Grape Juice Premium (m257),{'Beverage'}
257,Water Mild (m258),{'Beverage'}
258,Deviled Eggs Mild (m259),"{'Soup', 'Breakfast Item', 'Appetizer'}"
259,Taco Salad Premium (m260),{'Salad'}
260,Goat Cheese Crostini Mild (m261),{'Appetizer'}
261,Calamari Deluxe (m262),"{'Salad', 'Beverage', 'Appetizer'}"
262,Clams Casino Mild (m263),"{'Soup', 'Beverage', 'Appetizer'}"
263,Chicken Parmesan Classic (m264),"{'Main Course', 'Dessert'}"
264,Hash Browns Premium (m265),"{'Soup', 'Side'}"
265,Waldorf Salad Classic (m266),{'Salad'}
266,Chicken Wings Spicy (m267),{'Main Course'}
267,Grilled Zucchini Special (m268),"{'Dessert', 'Side'}"
268,Lobster Bisque Deluxe (m269),"{'Soup', 'Dessert'}"
269,Parfait Deluxe (m270),"{'Breakfast Item', 'Dessert'}"
270,Cheesecake Light (m271),{'Dessert'}
271,Shrimp Scampi Mild (m272),{'Main Course'}
272,Waffles Mild (m273),{'Breakfast Item'}
273,Minestrone Premium (m274),"{'Side', 'Soup', 'Appetizer'}"
274,Sprite Spicy (m275),"{'Soup', 'Beverage'}"
275,Banana Smoothie Mild (m276),{'Beverage'}
276,Hot Tea Spicy (m277),"{'Beverage', 'Dessert', 'Side'}"
277,Strawberry Shortcake Deluxe (m278),{'Dessert'}
278,Banana Split Premium (m279),{'Dessert'}
279,Cucumber Salad Mild (m280),"{'Salad', 'Breakfast Item'}"
280,Beef Burrito Classic (m281),"{'Main Course', 'Dessert'}"
281,Shrimp Cocktail Deluxe (m282),"{'Salad', 'Appetizer'}"
282,Grilled Eggplant Classic (m283),"{'Salad', 'Beverage', 'Side'}"
283,Cinnamon Roll Mild (m284),{'Breakfast Item'}
284,Mocha Classic (m285),"{'Main Course', 'Soup', 'Beverage'}"
285,Fish Tacos Classic (m286),{'Main Course'}
286,French Onion Soup Deluxe (m287),{'Soup'}
287,Mushroom Soup Classic (m288),{'Soup'}
288,Split Pea Soup Light (m289),{'Soup'}
289,Churros Deluxe (m290),"{'Side', 'Salad', 'Dessert'}"
290,French Fries Special (m291),"{'Salad', 'Side'}"
291,Macarons Special (m292),{'Dessert'}
292,Strawberry Smoothie (m293),{'Beverage'}
293,Americano Special (m294),"{'Salad', 'Beverage'}"
294,Strawberry Shortcake (m295),{'Dessert'}
295,Stuffed Peppers Premium (m296),"{'Side', 'Appetizer'}"
296,Egg Salad (m297),{'Salad'}
297,Oatmeal (m298),"{'Breakfast Item', 'Beverage'}"
298,Tomato Juice (m299),{'Beverage'}
299,Mozzarella Sticks Deluxe (m300),"{'Side', 'Appetizer'}"
300,Pineapple Juice Spicy (m301),"{'Beverage', 'Dessert'}"
301,Key Lime Pie Light (m302),{'Dessert'}
302,Couscous Deluxe (m303),{'Side'}
303,Cucumber Salad Premium (m304),{'Salad'}
304,Lamb Chops Premium (m305),"{'Main Course', 'Salad'}"
305,Hash Browns Special (m306),{'Breakfast Item'}
306,Edamame Premium (m307),"{'Breakfast Item', 'Beverage', 'Appetizer'}"
307,Oysters Premium (m308),"{'Salad', 'Appetizer'}"
308,Breakfast Potatoes Special (m309),{'Breakfast Item'}
309,Baked Potato Classic (m310),{'Side'}
310,Onion Rings (m311),{'Side'}
311,Mango Juice (m312),"{'Breakfast Item', 'Beverage', 'Dessert'}"
312,Mediterranean Salad (m313),{'Salad'}
313,Tomato Soup Light (m314),"{'Salad', 'Soup', 'Appetizer'}"
314,Broccoli Cheddar Soup Spicy (m315),"{'Soup', 'Breakfast Item'}"
315,Cheesecake (m316),"{'Breakfast Item', 'Dessert'}"
316,Baked Potato Light (m317),"{'Breakfast Item', 'Side'}"
317,Americano Mild (m318),{'Beverage'}
318,Donut Mild (m319),"{'Salad', 'Dessert'}"
319,Cranberry Juice Spicy (m320),"{'Main Course', 'Salad', 'Beverage'}"
320,Nicoise Salad Spicy (m321),{'Salad'}
321,Fried Pickles Special (m322),{'Appetizer'}
322,Corn Chowder Deluxe (m323),{'Soup'}
323,Spinach Salad Classic (m324),"{'Salad', 'Beverage'}"
324,Green Beans (m325),"{'Salad', 'Soup', 'Side'}"
325,Burger Spicy (m326),{'Main Course'}
326,Goat Cheese Crostini Light (m327),{'Appetizer'}
327,Chicken Fried Rice Classic (m328),{'Main Course'}
328,Arugula Salad Mild (m329),{'Salad'}
329,Tres Leches Cake Special (m330),"{'Soup', 'Dessert'}"
330,Cheese Platter Light (m331),"{'Dessert', 'Appetizer'}"
331,Chicken Noodle Soup Light (m332),{'Soup'}
332,Caprese Salad Spicy (m333),"{'Side', 'Breakfast Item', 'Appetizer'}"
333,Mushroom Soup Light (m334),"{'Salad', 'Soup'}"
334,Toast Special (m335),{'Breakfast Item'}
335,Coleslaw Spicy (m336),"{'Salad', 'Beverage', 'Side'}"
336,Cappuccino Light (m337),"{'Beverage', 'Appetizer'}"
337,Butternut Squash Soup Light (m338),{'Soup'}
338,Fruit Punch Premium (m339),"{'Soup', 'Beverage'}"
339,Ice Cream (m340),{'Dessert'}
340,Breakfast Tacos Mild (m341),{'Breakfast Item'}
341,Prosciutto Melon Spicy (m342),"{'Beverage', 'Appetizer'}"
342,Greek Salad Deluxe (m343),"{'Salad', 'Appetizer'}"
343,Oysters Deluxe (m344),"{'Main Course', 'Appetizer'}"
344,Baklava Special (m345),{'Dessert'}
345,Chicken Tortilla Soup Mild (m346),{'Soup'}
346,Spinach Artichoke Dip Special (m347),"{'Side', 'Appetizer'}"
347,Pork Fried Rice (m348),"{'Appetizer', 'Main Course', 'Dessert'}"
348,Lemon Tart (m349),"{'Salad', 'Dessert'}"
349,Almond Milk Mild (m350),"{'Beverage', 'Appetizer'}"
350,Meatball Sub Mild (m351),{'Main Course'}
351,Asian Salad Classic (m352),"{'Salad', 'Breakfast Item'}"
352,English Muffin (m353),"{'Salad', 'Breakfast Item'}"
353,Mediterranean Salad Classic (m354),"{'Salad', 'Soup'}"
354,Ice Cream Premium (m355),"{'Appetizer', 'Main Course', 'Dessert'}"
355,Cola Mild (m356),{'Beverage'}
356,Vegetable Curry Deluxe (m357),"{'Main Course', 'Beverage'}"
357,Kale Salad (m358),"{'Salad', 'Beverage', 'Main Course'}"
358,Clam Chowder Premium (m359),"{'Soup', 'Side'}"
359,Bacon Special (m360),"{'Breakfast Item', 'Appetizer'}"
360,Fried Rice Mild (m361),{'Side'}
361,Sweet Potato Fries Deluxe (m362),{'Side'}
362,Chicken Souvlaki Light (m363),"{'Main Course', 'Soup'}"
363,Mocha Special (m364),"{'Salad', 'Beverage', 'Side'}"
364,Chef Salad Mild (m365),"{'Salad', 'Main Course'}"
365,Mousse Spicy (m366),{'Dessert'}
366,Iced Tea Spicy (m367),"{'Main Course', 'Soup', 'Beverage'}"
367,Sorbet Premium (m368),"{'Soup', 'Dessert'}"
368,Chicken Salad Light (m369),{'Salad'}
369,Yams Deluxe (m370),{'Side'}
370,Herbal Tea Light (m371),{'Beverage'}
371,Cobb Salad (m372),{'Salad'}
372,Potato Skins Mild (m373),{'Appetizer'}
373,Pho (m374),"{'Soup', 'Dessert', 'Side'}"
374,Bagel Mild (m375),{'Breakfast Item'}
375,Soy Milk Deluxe (m376),"{'Beverage', 'Dessert'}"
376,Pancakes Light (m377),"{'Salad', 'Breakfast Item', 'Beverage'}"
377,Potato Skins Premium (m378),"{'Beverage', 'Appetizer'}"
378,Chef Salad Special (m379),"{'Salad', 'Breakfast Item', 'Beverage'}"
379,Bean Soup Light (m380),{'Soup'}
380,Sushi Roll (m381),"{'Main Course', 'Soup', 'Beverage'}"
381,Toast (m382),"{'Salad', 'Breakfast Item'}"
382,Ice Cream Classic (m383),"{'Beverage', 'Dessert'}"
383,Cobbler Light (m384),{'Dessert'}
384,Taco Salad Special (m385),"{'Salad', 'Side'}"
385,Split Pea Soup Premium (m386),"{'Soup', 'Breakfast Item', 'Appetizer'}"
386,Steamed Vegetables Premium (m387),"{'Appetizer', 'Soup', 'Side'}"
387,Soy Milk Mild (m388),{'Beverage'}
388,Gelato Special (m389),"{'Salad', 'Main Course', 'Dessert'}"
389,Mozzarella Sticks (m390),"{'Breakfast Item', 'Dessert', 'Appetizer'}"
390,Hash Browns Light (m391),{'Breakfast Item'}
391,Rice Pilaf (m392),"{'Beverage', 'Side'}"
392,Cappuccino Mild (m393),"{'Beverage', 'Appetizer'}"
393,Split Pea Soup Deluxe (m394),"{'Main Course', 'Soup'}"
394,BBQ Chicken (m395),"{'Main Course', 'Salad', 'Dessert'}"
395,Grilled Chicken Classic (m396),"{'Main Course', 'Salad'}"
396,Cinnamon Roll (m397),{'Breakfast Item'}
397,Waldorf Salad Classic (m398),{'Salad'}
398,Wild Rice Mild (m399),"{'Beverage', 'Side'}"
399,French Fries Light (m400),"{'Appetizer', 'Dessert', 'Side'}"
400,Soy Milk Spicy (m401),"{'Soup', 'Beverage', 'Dessert'}"
401,Meatball Sub Spicy (m402),"{'Main Course', 'Breakfast Item'}"
402,Tuna Salad Deluxe (m403),"{'Salad', 'Appetizer'}"
403,Potato Salad Spicy (m404),"{'Salad', 'Beverage'}"
404,Beef Tacos Special (m405),{'Main Course'}
405,Scone Light (m406),"{'Breakfast Item', 'Beverage'}"
406,Iced Coffee Deluxe (m407),{'Beverage'}
407,Shrimp Cocktail Classic (m408),{'Appetizer'}
408,Breakfast Tacos Premium (m409),"{'Appetizer', 'Breakfast Item', 'Side'}"
409,Corn Chowder Light (m410),"{'Soup', 'Appetizer'}"
410,Split Pea Soup Spicy (m411),"{'Soup', 'Beverage'}"
411,Crab Cakes Spicy (m412),"{'Salad', 'Appetizer'}"
412,Baked Potato Special (m413),"{'Dessert', 'Side'}"
413,Corn Chowder Special (m414),{'Soup'}
414,Ginger Ale Deluxe (m415),{'Beverage'}
415,Beef Kebab Deluxe (m416),"{'Main Course', 'Breakfast Item'}"
416,Roasted Carrots Light (m417),{'Side'}
417,Lasagna Spicy (m418),"{'Main Course', 'Soup'}"
418,Green Beans Light (m419),"{'Main Course', 'Side'}"
419,Chicken Tortilla Soup Special (m420),{'Soup'}
420,Chicken Skewers Deluxe (m421),"{'Beverage', 'Appetizer'}"
421,Fried Rice Special (m422),{'Side'}
422,Broccoli Cheddar Soup Light (m423),{'Soup'}
423,Waffles (m424),{'Breakfast Item'}
424,Brownies Mild (m425),{'Dessert'}
425,Mushroom Soup Premium (m426),{'Soup'}
426,Orange Juice (m427),{'Beverage'}
427,Edamame Classic (m428),"{'Salad', 'Soup', 'Side'}"
428,Baked Beans (m429),{'Side'}
429,Oat Milk Classic (m430),"{'Beverage', 'Appetizer'}"
430,Dumplings Spicy (m431),{'Appetizer'}
431,Chef Salad Classic (m432),"{'Salad', 'Breakfast Item', 'Main Course'}"
432,Gazpacho Light (m433),"{'Soup', 'Breakfast Item'}"
433,Chicken Souvlaki Premium (m434),"{'Main Course', 'Side'}"
434,Soy Milk Spicy (m435),"{'Salad', 'Beverage'}"
435,Brussels Sprouts Spicy (m436),{'Side'}
436,French Toast (m437),"{'Soup', 'Breakfast Item', 'Appetizer'}"
437,Polenta Light (m438),{'Side'}
438,Nicoise Salad Light (m439),"{'Salad', 'Soup', 'Side'}"
439,Coleslaw Light (m440),"{'Salad', 'Appetizer'}"
440,Brownies Mild (m441),"{'Breakfast Item', 'Dessert'}"
441,Pineapple Juice Mild (m442),"{'Breakfast Item', 'Beverage', 'Dessert'}"
442,Chicken Teriyaki Deluxe (m443),{'Main Course'}
443,Mozzarella Sticks Deluxe (m444),"{'Soup', 'Appetizer'}"
444,Raspberry Lemonade (m445),"{'Breakfast Item', 'Beverage'}"
445,Roasted Carrots Spicy (m446),"{'Beverage', 'Dessert', 'Side'}"
446,Cappuccino Deluxe (m447),{'Beverage'}
447,Tres Leches Cake Light (m448),"{'Side', 'Dessert'}"
448,Beef Kebab Classic (m449),{'Main Course'}
449,Green Beans Deluxe (m450),"{'Breakfast Item', 'Dessert', 'Side'}"
450,Breakfast Sandwich Classic (m451),"{'Breakfast Item', 'Appetizer'}"
451,Salmon Fillet Spicy (m452),{'Main Course'}
452,Cereal Spicy (m453),{'Breakfast Item'}
453,Bruschetta Spicy (m454),{'Appetizer'}
454,Edamame Mild (m455),{'Appetizer'}
455,Pho Deluxe (m456),"{'Soup', 'Breakfast Item', 'Beverage'}"
456,Fruit Smoothie Bowl Mild (m457),{'Breakfast Item'}
457,Carrot Ginger Soup Light (m458),"{'Soup', 'Beverage', 'Appetizer'}"
