user_id,meal_occasion,lead_researcher,team,goodness_score
user_174_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_175_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_176_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_177_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_178_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_179_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Mac and Cheese (m191)']",0.45
user_180_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_181_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Pasta Salad Classic (m40)']",0.425
user_182_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_183_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_184_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_185_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_186_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_187_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_188_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_189_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_190_lunch,lunch,Donut Special (m31),['Donut Special (m31)'],0.4
user_191_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_192_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_193_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_194_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_195_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_196_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_197_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_198_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_199_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_200_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_201_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_202_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_203_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_204_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_205_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Tea Classic (m57)']",0.425
user_206_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Pasta Salad Classic (m40)']",0.425
user_207_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_208_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_209_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_210_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_211_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_212_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_213_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_214_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_215_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_216_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_217_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_218_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_219_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_220_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_221_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_222_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_223_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_224_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_225_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_226_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_227_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_228_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_229_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_230_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Mac and Cheese (m191)']",0.45
user_231_lunch,lunch,Spinach Salad Spicy (m118),['Spinach Salad Spicy (m118)'],0.4
user_232_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_233_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_234_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Peach Tea Deluxe (m4)']",0.425
user_235_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Tomato Juice (m51)']",0.425
user_236_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_237_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Banana Split Mild (m5)']",0.425
user_238_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_239_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Raspberry Lemonade Mild (m10)']",0.425
user_240_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Peach Tea Deluxe (m4)']",0.425
user_241_dinner,dinner,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_242_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_243_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_244_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_245_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_246_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_247_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Peach Tea Deluxe (m4)']",0.45625
user_248_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_249_snacks,snacks,Peach Tea Deluxe (m4),['Peach Tea Deluxe (m4)'],0.4
user_250_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_251_breakfast,breakfast,Donut Special (m31),['Donut Special (m31)'],0.4
user_252_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Peach Tea Deluxe (m4)']",0.425
user_253_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_254_lunch,lunch,Cranberry Juice Spicy (m320),['Cranberry Juice Spicy (m320)'],0.4
user_255_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Peach Tea Deluxe (m4)']",0.425
user_256_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_257_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_258_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Cereal Special (m78)']",0.425
user_259_lunch,lunch,Fish Tacos Spicy (m1561),['Fish Tacos Spicy (m1561)'],0.4
user_260_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_261_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
user_262_dinner,dinner,Beef Burrito Deluxe (m21),"['Beef Burrito Deluxe (m21)', 'Cereal Special (m78)']",0.425
user_263_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Banana Split Mild (m5)']",0.425
user_264_dinner,dinner,Green Beans (m29),"['Green Beans (m29)', 'Tea Classic (m57)']",0.425
user_265_snacks,snacks,Tomato Juice (m51),['Tomato Juice (m51)'],0.4
user_266_breakfast,breakfast,Milk Spicy (m16),['Milk Spicy (m16)'],0.4
user_267_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Peach Tea Deluxe (m4)']",0.425
user_268_dinner,dinner,Pork Schnitzel Mild (m32),"['Pork Schnitzel Mild (m32)', 'Banana Split Mild (m5)']",0.425
user_269_snacks,snacks,Hummus with Pita Classic (m6),['Hummus with Pita Classic (m6)'],0.4
user_270_lunch,lunch,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Banana Split Mild (m5)']",0.425
user_271_dinner,dinner,Chicken Wings Deluxe (m52),"['Chicken Wings Deluxe (m52)', 'Raspberry Lemonade Mild (m10)']",0.425
user_272_breakfast,breakfast,Cereal Special (m78),['Cereal Special (m78)'],0.4
user_273_snacks,snacks,Banana Split Mild (m5),['Banana Split Mild (m5)'],0.4
